SERIAL,TITLE,ARTIST,VALUE,KEY,AVG,,,,,,,,,,
1,Dream Big Live Bigger,Jay Pay$o,80,0,21.79591837,,,,,,,,,,
2,Behind Barz - Bonus,Drake,77,0,21.79591837,,,,,,,,,,
3,That's Tuff (feat. Quavo),Rich The Kid,64,0,21.79591837,,,,,,,,,,
4,The Search,NF,60,0,21.79591837,,,,,,,,,,
5,Jesus Walks,Kanye West,58,0,21.79591837,,,,,,,,,,
6,Kemba Walker,Eladio Carrion,45,0,21.79591837,,,,,,,,,,
7,Dedication (feat. Kendrick Lamar),Nipsey Hussle,43,0,21.79591837,,,,,,,,,,
8,Killswitch,JP Killed IT,40,0,21.79591837,,,,,,,,,,
9,WHY,NF,37,0,21.79591837,,,,,,,,,,
10,Siren,The Chainsmokers,35,0,21.79591837,,,,,,,,,,
11,Keepin it movin am & guv demo.mp3,Andy Mineo,93,1,69.24489796,,,,,,,,,,
12,Jumped Out the Window,Young Thug,93,1,69.24489796,,,,,,,,,,
13,Isis,Joyner Lucas,92,1,69.24489796,,,,,,,,,,
14,Take It Down (feat. Offset),Pardison Fontaine,92,1,69.24489796,,,,,,,,,,
15,Back to It,Mesa,91,1,69.24489796,,,,,,,,,,
16,That's Tuff (feat. Quavo),Rich The Kid,90,1,69.24489796,,,,,,,,,,
17,The Box,Roddy Ricch,90,1,69.24489796,,,,,,,,,,
18,HUMBLE. - SKRILLEX REMIX,Skrillex,90,1,69.24489796,,,,,,,,,,
19,Run for It,Lil Haiti,89,1,69.24489796,,,,,,,,,,
20,What's Up Danger - Black Caviar Remix,Blackway,88,1,69.24489796,,,,,,,,,,
21,Front 2 Back,Snails,100,2,61.57142857,,,,,,,,,,
22,Smoke,Herobust,99,2,61.57142857,,,,,,,,,,
23,Warp 2.019 (feat. Steve Aoki) - Steve Aoki & Kayzo Remix,The Bloody Beetroots,99,2,61.57142857,,,,,,,,,,
24,The Power (feat. Snap!),Tommie Sunshine,99,2,61.57142857,,,,,,,,,,
25,The People - Dimatik Remix,KSHMR,99,2,61.57142857,,,,,,,,,,
26,Game Day,BLVD.,99,2,61.57142857,,,,,,,,,,
27,Chemtrails,Benzi,99,2,61.57142857,,,,,,,,,,
28,THE DROP,Gammer,99,2,61.57142857,,,,,,,,,,
29,Ruffneck Bass,Bass Modulators,99,2,61.57142857,,,,,,,,,,
30,Blacksmith,Sludge,99,2,61.57142857,,,,,,,,,,
31,Smoke,Herobust,0,3,79.49505901,,,,,,,,,,
32,Spicy Future,Barely Alive,0,3,79.49505901,,,,,,,,,,
33,The People - Dimatik Remix,KSHMR,0,3,79.49505901,,,,,,,,,,
34,Grand Slam,Jayceeoh,-1,3,79.49505901,,,,,,,,,,
35,It's About To Get Hectic (feat. Born I),Bassnectar,-1,3,79.49505901,,,,,,,,,,
36,Front 2 Back,Snails,-1,3,79.49505901,,,,,,,,,,
37,FIRE feat. Carasel,Crissy Criss,-1,3,79.49505901,,,,,,,,,,
38,THE DROP,Gammer,-1,3,79.49505901,,,,,,,,,,
39,Wildchild,The Bloody Beetroots,-2,3,79.49505901,,,,,,,,,,
40,We Live Forever - Teddy Killerz Remix,The Prodigy,-2,3,79.49505901,,,,,,,,,,
41,Tra Tra Tra Remix,Ghetto Kids,88,4,51.48979592,,,,,,,,,,
42,HUMBLE. - SKRILLEX REMIX,Skrillex,87,4,51.48979592,,,,,,,,,,
43,Isis,Joyner Lucas,86,4,51.48979592,,,,,,,,,,
44,The Power (feat. Snap!),Tommie Sunshine,82,4,51.48979592,,,,,,,,,,
45,Keanu Reeves,Logic,82,4,51.48979592,,,,,,,,,,
46,How I Move (feat. Lil Baby),Flipp Dinero,81,4,51.48979592,,,,,,,,,,
47,300 Million Streams,Mesa,80,4,51.48979592,,,,,,,,,,
48,Catch Me Now,So Dope,78,4,51.48979592,,,,,,,,,,
49,Homicide (feat. Eminem),Logic,77,4,51.48979592,,,,,,,,,,
50,Camelot,NLE Choppa,76,4,51.48979592,,,,,,,,,,
