NUM,TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,RND
1,Black Hole Sun,Soundgarden,3/9/1994,106,72,36,-8,19,5:18,0,7,3402
2,Where Is My Mind?,Pixies,1997,82,60,51,-8,19,3:52,2,67,5571
3,Interstate Love Song,Stone Temple Pilots,11/10/2003,171,95,21,-5,48,3:14,0,57,1211
4,Karma Police,Radiohead,5/21/1997,75,51,36,-9,32,4:24,6,15,9593
5,1979,The Smashing Pumpkins,10/24/1995,127,74,77,-11,96,4:26,2,16,4945
6,Day Tripper - Remastered,The Beatles,3/7/1988,138,72,64,-11,70,2:49,9,8,8629
7,All Along the Watchtower,Jimi Hendrix,10/25/1968,113,81,44,-6,56,4:01,0,78,1179
8,Come As You Are,Nirvana,9/26/1991,120,83,51,-6,54,3:39,0,74,9454
9,Give It Away,Red Hot Chili Peppers,9/24/1991,92,94,67,-10,78,4:43,0,47,1370
10,Loser,Beck,3/1/1994,85,63,66,-10,79,3:55,3,71,7299
11,Alive,Pearl Jam,8/27/1991,75,83,33,-8,56,5:41,1,14,9882
12,Come Together - Remastered,The Beatles,9/26/1969,165,38,53,-12,19,4:20,3,24,5819
13,Creep,Radiohead,2/22/1993,92,43,52,-10,10,3:59,1,83,3672
14,Under the Bridge,Red Hot Chili Peppers,11/18/2003,84,49,55,-8,51,4:26,2,65,3657
15,Shiver,Coldplay,7/10/2000,117,80,40,-6,29,5:04,3,69,1041
16,Black,Pearl Jam,8/27/1991,76,55,38,-11,24,5:44,29,3,6169
17,No Rain,Blind Melon,1/1/1992,148,48,39,-9,57,3:37,62,76,2344
18,High And Dry,Radiohead,3/28/1995,88,38,42,-12,35,4:17,7,74,5434
19,Learn to Fly,Foo Fighters,11/2/1999,136,92,47,-4,54,3:55,0,75,3424
20,Buddy Holly,Weezer,5/10/1994,121,93,54,-4,83,2:40,1,17,8098
21,Dream On,Aerosmith,9/13/2011,80,53,41,-7,18,4:25,30,63,8500
22,Song 2 - 2012 Remaster,Blur,2/10/1997,130,79,67,-7,92,2:01,0,76,5835
23,The Distance,Cake,1996,183,75,46,-8,89,3:00,1,67,7555
24,Seven Nation Army,The White Stripes,4/1/2003,124,46,74,-8,32,3:52,1,76,466
25,Chop Suey!,System Of A Down,9/4/2001,127,93,42,-4,29,3:30,0,82,2314
26,Float On,Modest Mouse,4/5/2004,101,89,65,-5,55,3:28,1,73,8642
27,Howlin' for You,The Black Keys,5/18/2010,133,74,71,-7,45,3:12,3,70,2971
28,Everlong - Acoustic Version,Foo Fighters,11/3/2009,144,34,64,-11,55,4:11,91,72,4647
29,Smells Like Teen Spirit,Nirvana,9/26/1991,117,91,52,-5,73,5:02,0,76,9345
30,Ain't No Rest for the Wicked,Cage The Elephant,3/27/2009,156,85,63,-7,92,2:55,4,19,8995
31,Californication,Red Hot Chili Peppers,6/8/1999,96,77,59,-3,33,5:30,0,82,9985
32,When I Come Around,Green Day,2/1/1994,98,91,53,-4,81,2:58,2,77,6208
33,Drive,Incubus,10/26/1999,91,79,65,-7,67,3:52,6,75,7188
34,Under Pressure,Queen,5/3/1982,114,54,66,-13,47,4:06,42,58,6105
35,The One I Love - Remastered,R.E.M.,9/1/1987,128,84,49,-5,56,3:18,0,65,730
36,Drive My Car - Remastered 2009,The Beatles,12/3/1965,122,57,75,-9,82,2:29,2,67,5816
37,Blister in the Sun - 2002 Remastered Version,Violent Femmes,1983,97,26,70,-20,89,2:24,22,20,5074
38,Pardon Me,Incubus,10/26/1999,152,81,58,-7,28,3:44,0,69,3585
39,Somebody Told Me,The Killers,6/15/2004,138,97,50,-4,73,3:17,0,68,7979
40,Glycerine,Bush,12/6/1994,114,34,45,-11,8,4:26,4,12,5282
41,Bitter Sweet Symphony,The Verve,9/29/1997,171,89,39,-7,52,5:58,4,28,3361
42,A Horse with No Name,America,1972,123,51,65,-17,83,4:12,69,79,6008
43,Flagpole Sitta,Harvey Danger,1/1/1997,145,90,35,-4,51,3:37,0,64,8317
44,Tribute,Tenacious D,9/25/2001,94,77,37,-6,42,4:08,18,61,5500
45,Snow (Hey Oh),Red Hot Chili Peppers,5/9/2006,104,90,43,-4,63,5:35,13,81,4653
46,Left Hand Free,alt-J,9/22/2014,102,88,70,-4,81,2:54,45,66,7769
47,Carry on Wayward Son,Kansas,1976,127,79,48,-6,79,5:23,0,77,2509
48,For What It's Worth,Buffalo Springfield,12/5/1966,99,52,65,-10,82,2:34,41,76,721
49,Losing My Religion,R.E.M.,3/12/1991,126,85,67,-5,83,4:28,16,82,8136
50,What I Got,Sublime,7/30/1996,96,71,80,-7,62,2:51,2,15,5389
51,Cars,Gary Numan,4/1/1981,128,60,49,-9,73,3:55,4,9,4431
52,Life in the Fast Lane - 2013 Remaster,Eagles,12/8/1976,110,76,67,-7,88,4:46,10,75,3795
53,Sex & Candy,Marcy Playground,1/1/1997,81,56,67,-9,63,2:53,24,70,9180
54,Help! - Remastered 2009,The Beatles,8/6/1965,95,73,53,-8,76,2:20,19,74,4477
55,Santeria,Sublime,7/30/1996,90,77,67,-5,59,3:03,2,18,4785
56,Friday I'm in Love,The Cure,4/21/1992,136,76,53,-12,51,3:34,0,69,4160
57,Smooth Criminal,Alien Ant Farm,1/1/2001,127,96,65,-4,88,3:29,0,75,5421
58,Burning Down the House,Talking Heads,6/1/1983,103,87,78,-13,56,4:02,1,66,831
59,The Times They Are A-Changin',Bob Dylan,1/13/1964,172,40,39,-8,59,3:12,89,71,9628
60,Fly Away,Lenny Kravitz,5/12/1998,160,87,59,-5,73,3:41,2,71,3
