TITLE,ARTIST,VALUE,KEY
Everlong - Acoustic Version,Foo Fighters,91,0
The Times They Are A-Changin',Bob Dylan,89,0
God's Gonna Cut You Down,Johnny Cash,88,0
A Horse with No Name,America,69,0
California Dreamin',The Mamas & The Papas,63,0
No Rain,Blind Melon,62,0
Happy Together,The Turtles,55,0
Left Hand Free,alt-J,45,0
Under Pressure,Queen,42,0
For What It's Worth,Buffalo Springfield,41,0
Another One Bites The Dust - Remastered 2011,Queen,95,1
What I Got,Sublime,80,1
Stuck In The Middle With You,Stealers Wheel,79,1
Burning Down the House - 45 Version,Talking Heads,78,1
1979,The Smashing Pumpkins,77,1
Drive My Car - Remastered 2009,The Beatles,75,1
Seven Nation Army,The White Stripes,74,1
Howlin' for You,The Black Keys,71,1
Left Hand Free,alt-J,70,1
Blister in the Sun - 2002 Remastered Version,Violent Femmes,70,1
Somebody Told Me,The Killers,97,2
Smooth Criminal,Alien Ant Farm,96,2
Going Down/ Love In An Elevator,Aerosmith,96,2
My Own Worst Enemy,Lit,95,2
What's My Age Again?,blink-182,95,2
Interstate Love Song,Stone Temple Pilots,95,2
Give It Away,Red Hot Chili Peppers,94,2
Father Of Mine,Everclear,94,2
Sweet Child O' Mine,Guns N' Roses,94,2
The Impression That I Get,The Mighty Mighty Bosstones,94,2
My Own Worst Enemy,Lit,-3,3
Californication,Red Hot Chili Peppers,-3,3
Somebody Told Me,The Killers,-4,3
Smooth Criminal,Alien Ant Farm,-4,3
Going Down/ Love In An Elevator,Aerosmith,-4,3
Buddy Holly,Weezer,-4,3
Chop Suey!,System Of A Down,-4,3
Learn to Fly,Foo Fighters,-4,3
When I Come Around,Green Day,-4,3
Snow (Hey Oh),Red Hot Chili Peppers,-4,3
Stuck In The Middle With You,Stealers Wheel,96,4
1979,The Smashing Pumpkins,96,4
Ain't No Rest for the Wicked,Cage The Elephant,92,4
Song 2 - 2012 Remaster,Blur,92,4
The Way,Fastball,90,4
My Sharona,The Knack,90,4
The Distance,Cake,89,4
"Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA (1st Show) - January 1968",Johnny Cash,89,4
Blister in the Sun - 2002 Remastered Version,Violent Femmes,89,4
Smooth Criminal,Alien Ant Farm,88,4
