SERIAL,TITLE,ARTIST,VALUE,KEY,AVG,,,,,,,,,,
1,Norman fucking Rockwell,Lana Del Rey,97,0,21.79591837,,,,,,,,,,
2,Medicine,Au/Ra,93,0,21.79591837,,,,,,,,,,
3,Season Of The Witch,Lana Del Rey,90,0,21.79591837,,,,,,,,,,
4,Fuck it I love you,Lana Del Rey,90,0,21.79591837,,,,,,,,,,
5,everything i wanted,Billie Eilish,90,0,21.79591837,,,,,,,,,,
6,"oh, mexico",Jeremy Zucker,89,0,21.79591837,,,,,,,,,,
7,Stay,Gracie Abrams,88,0,21.79591837,,,,,,,,,,
8,July (feat. Leon Bridges),Noah Cyrus,85,0,21.79591837,,,,,,,,,,
9,hungover sunday,Christian French,85,0,21.79591837,,,,,,,,,,
10,You're Somebody Else,flora cash,84,0,21.79591837,,,,,,,,,,
11,Mars,Alexander 23,94,1,69.24489796,,,,,,,,,,
12,head first,Christian French,91,1,69.24489796,,,,,,,,,,
13,How Many,Shoffy,86,1,69.24489796,,,,,,,,,,
14,Close My Eyes,Hey Violet,84,1,69.24489796,,,,,,,,,,
15,Heart of Stone,Rasmus Walter,81,1,69.24489796,,,,,,,,,,
16,Bipolar,Kiiara,81,1,69.24489796,,,,,,,,,,
17,FAR AWAY,Jessie Reyez,80,1,69.24489796,,,,,,,,,,
18,My People,James Hersey,80,1,69.24489796,,,,,,,,,,
19,Something About You (with Rudimental) - Chill Mix,Elderbrook,80,1,69.24489796,,,,,,,,,,
20,The walker,Christine and the Queens,80,1,69.24489796,,,,,,,,,,
21,Prophet,King Princess,78,2,61.57142857,,,,,,,,,,
22,I Believe,Jonas Brothers,77,2,61.57142857,,,,,,,,,,
23,Adore You,Harry Styles,77,2,61.57142857,,,,,,,,,,
24,colorblind,Mokita,77,2,61.57142857,,,,,,,,,,
25,See You In Life,Valentina Ploy,75,2,61.57142857,,,,,,,,,,
26,Now That I Think About It,Alex Vargas,73,2,61.57142857,,,,,,,,,,
27,Lovely,Fly By Midnight,72,2,61.57142857,,,,,,,,,,
28,V.C.R.,Chey Rose,71,2,61.57142857,,,,,,,,,,
29,Rumors (feat. ZAYN),Sabrina Claudio,71,2,61.57142857,,,,,,,,,,
30,Mai Tais (feat. Skylar Grey),Train,70,2,61.57142857,,,,,,,,,,
31,Adore You,Harry Styles,-4,3,79.49505901,,,,,,,,,,
32,Myself,Post Malone,-4,3,79.49505901,,,,,,,,,,
33,Freaking Out!,Caroline Kole,-4,3,79.49505901,,,,,,,,,,
34,I Wasted You,flora cash,-4,3,79.49505901,,,,,,,,,,
35,Sideways,Betty Bass,-4,3,79.49505901,,,,,,,,,,
36,Prophet,King Princess,-5,3,79.49505901,,,,,,,,,,
37,colorblind,Mokita,-5,3,79.49505901,,,,,,,,,,
38,Rumors (feat. ZAYN),Sabrina Claudio,-5,3,79.49505901,,,,,,,,,,
39,Cold Hearted,Alex Holtti,-5,3,79.49505901,,,,,,,,,,
40,Ain't Together,King Princess,-5,3,79.49505901,,,,,,,,,,
41,Bloom,Paige,90,4,51.48979592,,,,,,,,,,
42,Softly,Clairo,78,4,51.48979592,,,,,,,,,,
43,V.C.R.,Chey Rose,78,4,51.48979592,,,,,,,,,,
44,Ain't Together,King Princess,77,4,51.48979592,,,,,,,,,,
45,Now That I Think About It,Alex Vargas,76,4,51.48979592,,,,,,,,,,
46,Thank Me Later,Anna of the North,73,4,51.48979592,,,,,,,,,,
47,Pressure (with SG Lewis),James Vickery,73,4,51.48979592,,,,,,,,,,
48,Mai Tais (feat. Skylar Grey),Train,72,4,51.48979592,,,,,,,,,,
49,Caught Up,NOA,71,4,51.48979592,,,,,,,,,,
50,CONFIDENCE (feat. K.Flay),X Ambassadors,67,4,51.48979592,,,,,,,,,,
,,,,,,,,,,,,,,,
