SERIAL,TITLE,ARTIST,VALUE,KEY,AVG,,,,
1,I Heard You From Afar,Benjamin Gustafsson,99,0,21.79591837,,,,
2,Into My Arms,Band of Horses,98,0,21.79591837,,,,
3,Blame,Wilder Gray,98,0,21.79591837,,,,
4,Imagining My Man,Aldous Harding,97,0,21.79591837,,,,
5,Strange Beauty,First Aid Kit,96,0,21.79591837,,,,
6,Mirou,Sumie,96,0,21.79591837,,,,
7,No One's Gonna Love You (Stockholm Version),Band of Horses,95,0,21.79591837,,,,
8,Forward (feat. James Blake),Beyoncé,95,0,21.79591837,,,,
9,Sinking Ship,Wild Child,95,0,21.79591837,,,,
10,I Wish I Knew,Sharon Van Etten,95,0,21.79591837,,,,
11,"Rudy, A Message to You",Dandy Livingstone,93,1,69.24489796,,,,
12,San Francisco Street,Sun Rai,88,1,69.24489796,,,,
13,Nobody,Mac DeMarco,88,1,69.24489796,,,,
14,Tieduprightnow,Parcels,86,1,69.24489796,,,,
15,anemone,slenderbodies,85,1,69.24489796,,,,
16,Back to the Classics,Yung Bae,83,1,69.24489796,,,,
17,So Good at Being in Trouble,Unknown Mortal Orchestra,83,1,69.24489796,,,,
18,Overnight,Parcels,81,1,69.24489796,,,,
19,Which Way To Paradise,Poolside,80,1,69.24489796,,,,
20,Sun Go Down,Fat Night,79,1,69.24489796,,,,
21,Overnight,Parcels,82,2,61.57142857,,,,
22,Feel Alright,Poolside,79,2,61.57142857,,,,
23,Hard To Say Goodbye,Washed Out,78,2,61.57142857,,,,
24,Leila - Poolside Remix,Miami Horror,77,2,61.57142857,,,,
25,Gamesofluck,Parcels,76,2,61.57142857,,,,
26,Up All Night - Oliver Remix,Beck,76,2,61.57142857,,,,
27,Go With It (feat. Chromeo),Oliver,76,2,61.57142857,,,,
28,The Last Waltz Suite: The Weight (feat. The Staples),The Band,75,2,61.57142857,,,,
29,My Silver Lining,First Aid Kit,73,2,61.57142857,,,,
30,Which Way To Paradise,Poolside,73,2,61.57142857,,,,
31,Gamesofluck,Parcels,-5,3,79.49505901,,,,
32,Up All Night - Oliver Remix,Beck,-5,3,79.49505901,,,,
33,My Silver Lining,First Aid Kit,-5,3,79.49505901,,,,
34,Across The Universe - Remix,Rufus Wainwright,-5,3,79.49505901,,,,
35,Feel Alright,Poolside,-6,3,79.49505901,,,,
36,Hard To Say Goodbye,Washed Out,-6,3,79.49505901,,,,
37,Go With It (feat. Chromeo),Oliver,-6,3,79.49505901,,,,
38,Which Way To Paradise,Poolside,-6,3,79.49505901,,,,
39,Doin' Time,Lana Del Rey,-6,3,79.49505901,,,,
40,Almost (Sweet Music),Hozier,-6,3,79.49505901,,,,
41,Which Way To Paradise,Poolside,89,4,51.48979592,,,,
42,Back to the Classics,Yung Bae,89,4,51.48979592,,,,
43,Overnight,Parcels,89,4,51.48979592,,,,
44,Town & Country,Bibio,88,4,51.48979592,,,,
45,"Rudy, A Message to You",Dandy Livingstone,88,4,51.48979592,,,,
46,Down for the Fifth Time,Flamingosis,88,4,51.48979592,,,,
47,Feel Alright,Poolside,86,4,51.48979592,,,,
48,Evan Finds the Third Room,Khruangbin,84,4,51.48979592,,,,
49,Leila - Poolside Remix,Miami Horror,83,4,51.48979592,,,,
50,Look At What The Light Did Now,Flo Morrissey,81,4,51.48979592,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
